tag,method,path,operationId,auth,param_count,request_body,success_codes,summary,response_schemas
tours,PATCH,/api-v2/tours/{id}/reject,ToursController_reject,Yes,1,application/json:DeclineTourValidation,200,,200=>application/json:object
transaction-account,GET,/api-v2/transaction-account,TransactionAccountController_index,Yes,7,,200,,200=>application/json:object
transaction-account,GET,/api-v2/transaction-account/reports/{id},TransactionAccountController_getTransactionAccountReport,Yes,9,,200,,200=>application/json:TransactionAccountDTO
transaction-account,GET,/api-v2/transaction-account/{id},TransactionAccountController_getById,Yes,1,,200,,200=>application/json:object
transaction-account,POST,/api-v2/transaction-account,TransactionAccountController_create,Yes,0,application/json:CreateTransactionAccount,201,,201=>application/json:object
transaction-account,PATCH,/api-v2/transaction-account/{id},TransactionAccountController_updateTransactionCode,Yes,1,application/json:UpdateTransactionAccount,200,,200=>application/json:object
transaction-account-type,GET,/api-v2/transaction-account-type,TransactionAccountTypeController_index,Yes,7,,200,,200=>application/json:object
transaction-account-type,GET,/api-v2/transaction-account-type/{id},TransactionAccountTypeController_getById,Yes,1,,200,,200=>application/json:object
ui-settings,GET,/api-v2/ui-settings,UiSettingsControllers_getUiSettings,No,0,,200,,200=>application/json:object
ui-settings,PUT,/api-v2/ui-settings,UiSettingsControllers_updateExternalSettings,No,0,application/json:array<string>,200,,200=>application/json:object
untagged,POST,/api-v2/sms,SmsController_sendSmsAlert,No,0,application/json:SendSmsAlertValidation,201,,201=>application/json:object
untagged,POST,/api-v2/sms/message,SmsController_sendSmsMessage,No,0,application/json:SendSmsMessageValidation,201,,201=>application/json:object
untagged,POST,/api-v2/sms/webhook,SmsController_receiveSms,No,0,application/json:TwilioWebhookResponseDto,201,,
users,GET,/api-v2/users,UsersController_index,Yes,7,,200,,200=>application/json:object
users,GET,/api-v2/users/brokers,UsersController_getBrokers,Yes,0,,200,,200=>application/json:object
users,GET,/api-v2/users/ids,UsersController_indexByIds,Yes,1,,200,,200=>application/json:object
users,GET,/api-v2/users/{id},UsersController_getById,Yes,1,,200,,200=>application/json:object
users,POST,/api-v2/users,UsersController_create,Yes,0,application/json:CreateUser,201,,201=>application/json:UserDTOWithoutToken
users,PUT,/api-v2/users/info/{id},UsersController_updateUserInfo,Yes,0,application/json:UpdateUserInfo,200,,200=>application/json:object
users,PUT,/api-v2/users/permissions,UsersController_assignPermissions,Yes,0,application/json:PermissionsValidations,200,,200=>application/json:object
users,PUT,/api-v2/users/{id},UsersController_updateUser,Yes,0,application/json:UpdateUser,200,,200=>application/json:object
users,DELETE,/api-v2/users/permissions,UsersController_revokePermissions,Yes,0,application/json:PermissionsValidations,200,,200=>application/json:object
users,DELETE,/api-v2/users/{id},UsersController_delete,Yes,1,,200,,200=>application/json:object
vendors,GET,/api-v2/vendors,VendorController_index,Yes,7,,200,,200=>application/json:object
vendors,GET,/api-v2/vendors/{id},VendorController_getById,Yes,2,,200,,200=>application/json:object
vendors,POST,/api-v2/vendors,VendorController_create,Yes,0,application/json:CreateVendor,201,,201=>application/json:object
vendors,PATCH,/api-v2/vendors/{id},VendorController_updateVendor,Yes,1,application/json:UpdateVendor,200,,200=>application/json:object
zones,GET,/api-v2/zones,ZoneController_index,Yes,6,,200,,200=>application/json:object
zones,GET,/api-v2/zones/{id},ZoneController_getById,Yes,1,,200,,200=>application/json:object
